     newid   newDSid  respntID   flowacc      Size      lake      elev     openl     woodl       sea     ilake     olake  rcarowOL  rcacolOL  latitude longitude   rcarow1   rcacol1   rcarow2   rcacol2   rcarow3   rcacol3   rcarow4   rcacol4   rcarow5   rcacol5   rcarow6   rcacol6   rcawgt1   rcawgt2   rcawgt3   rcawgt4   rcawgt5   rcawgt6
        28        37       280      2113      2113        50     0.000     0.361     0.591     0.000     0.025     0.024        49        30   0.00000   0.00000        49        30        50        31        50        30        50        29         0         0         0         0   0.10065   0.06548   0.46807   0.36580   0.00000   0.00000
        29        37       280      2513      2513         0   772.708     0.545     0.420     0.000     0.035     0.000        50        30   0.00000   0.00000        50        30        50        31        50        29        51        30         0         0         0         0   0.24268   0.00455   0.53806   0.21470   0.00000   0.00000
        30        32       280      2972      2972       -56   805.734     0.665     0.243     0.000     0.073    -0.019        51        30   0.00000   0.00000        51        30        51        29        52        29        51        28         0         0         0         0   0.09441   0.44140   0.17243   0.29177   0.00000   0.00000
        31        34       280      3240      3240         0   778.291     0.756     0.166     0.000     0.078     0.000        49        29   0.00000   0.00000        49        29        49        28        50        29        50        28         0         0         0         0   0.19913   0.63362   0.11572   0.05153   0.00000   0.00000
        32        33       280      3516       544       233     0.000     0.113     0.542     0.000     0.020     0.428        51        31   0.00000   0.00000        51        31        51        30        50        30         0         0         0         0         0         0   0.40441   0.59191   0.00368   0.00000   0.00000   0.00000
        33        35       280      5558      2042       156     0.000     0.075     0.689     0.000     0.159     0.076        50        31   0.00000   0.00000        50        31        50        30        51        31        51        30         0         0         0         0   0.24846   0.33727   0.32546   0.08881   0.00000   0.00000
        34        36       280      5760      2520         0   660.721     0.317     0.572     0.000     0.111     0.000        49        30   0.00000   0.00000        49        30        48        29        49        29        48        30         0         0         0         0   0.28183   0.35088   0.36106   0.00623   0.00000   0.00000
        35        39       280      5872       314        73     0.000     0.128     0.565     0.000     0.075     0.232        50        32   0.00000   0.00000        50        32        50        31         0         0         0         0         0         0         0         0   0.19427   0.80573   0.00000   0.00000   0.00000   0.00000
        36        38       280      7231      1471       173     0.000     0.203     0.609     0.000     0.071     0.118        48        31   0.00000   0.00000        48        31        48        30        49        31        49        30         0         0         0         0   0.18664   0.63499   0.01240   0.16598   0.00000   0.00000
        37        39       280      8257      3631         0   514.893     0.240     0.680     0.000     0.080     0.000        49        32   0.00000   0.00000        49        32        49        31        48        31        48        30         0         0         0         0   0.07589   0.75957   0.14184   0.02270   0.00000   0.00000
        38        40       280      9770      2539         5   408.053     0.225     0.693     0.000     0.082     0.000        48        32   0.00000   0.00000        48        32        48        31        47        31        48        30         0         0         0         0   0.36274   0.53761   0.09531   0.00433   0.00000   0.00000
        39        40       280     17255      2688         0   347.376     0.220     0.693     0.000     0.087     0.000        48        33   0.00000   0.00000        48        33        48        32        49        33        49        32         0         0         0         0   0.11307   0.31733   0.12000   0.44960   0.00000   0.00000
        40        41       280     31920      4895         0   291.739     0.140     0.806     0.000     0.054     0.000        47        34   0.00000   0.00000        47        34        47        35        47        33        48        33         0         0         0         0   0.35429   0.01934   0.32747   0.29890   0.00000   0.00000
        41         0       280     33282      1362         0   175.227     0.159     0.833     0.003     0.005     0.000        46        35   0.00000   0.00000        46        35        47        36        47        35        46        34         0         0         0         0   0.13181   0.03163   0.69684   0.13972   0.00000   0.00000
        42        49       531      2501      2501         0   407.962     0.201     0.768     0.000     0.031     0.000        38        32   0.00000   0.00000        38        32        38        31        39        32        38        33         0         0         0         0   0.42562   0.11547   0.33375   0.12516   0.00000   0.00000
        43        47       531      2501      2501         0   736.039     0.343     0.631     0.000     0.026     0.000        39        30   0.00000   0.00000        39        30        39        29        38        29        39        28         0         0         0         0   0.15610   0.67344   0.01239   0.15808   0.00000   0.00000
        44        48       531      2514      2514         0   631.248     0.341     0.627     0.000     0.032     0.000        37        30   0.00000   0.00000        37        30        38        31        38        30        37        29         0         0         0         0   0.19100   0.01577   0.75467   0.03855   0.00000   0.00000
        45        51       531      2535      2535       -30   258.947     0.115     0.785     0.000     0.100     0.000        37        34   0.00000   0.00000        37        34        37        33        38        34        38        33         0         0         0         0   0.11550   0.31086   0.31129   0.26234   0.00000   0.00000
        46        48       531      2636      2636         0   381.431     0.170     0.751     0.000     0.079     0.000        36        32   0.00000   0.00000        36        32        37        32        37        33        36        31         0         0         0         0   0.19608   0.68562   0.07190   0.04641   0.00000   0.00000
        47        49       531      5021      2520         0   594.585     0.320     0.613     0.000     0.067     0.000        38        31   0.00000   0.00000        38        31        37        31        38        30        39        31         0         0         0         0   0.37702   0.00243   0.55016   0.07039   0.00000   0.00000
        48        50       531      7761      2611         0   418.161     0.196     0.758     0.000     0.046     0.000        36        32   0.00000   0.00000        36        32        37        33        36        33        36        31         0         0         0         0   0.50361   0.02226   0.04693   0.42720   0.00000   0.00000
        49        50       531     10031      2509       135   413.487     0.101     0.811     0.000     0.088     0.000        37        32   0.00000   0.00000        37        32        38        33        38        32        38        31         0         0         0         0   0.13933   0.03211   0.45010   0.37846   0.00000   0.00000
        50        51       531     21345      3553         0   277.685     0.166     0.745     0.000     0.089     0.000        37        34   0.00000   0.00000        37        34        36        33        37        33        36        32         0         0         0         0   0.02094   0.32044   0.53846   0.12016   0.00000   0.00000
        51        52       531     26405      2525         0   180.749     0.333     0.599     0.000     0.067     0.000        36        35   0.00000   0.00000        36        35        36        34        37        35        37        34         0         0         0         0   0.03133   0.30054   0.18306   0.48507   0.00000   0.00000
        52        53       531     27848      1443        72     0.000     0.278     0.610     0.000     0.063     0.050        37        36   0.00000   0.00000        37        36        37        35        36        35        36        34         0         0         0         0   0.16216   0.40818   0.42134   0.00832   0.00000   0.00000
        53        54       531     28511       663        71     0.000     0.179     0.584     0.000     0.129     0.107        37        35   0.00000   0.00000        37        35        37        36         0         0         0         0         0         0         0         0   0.58974   0.41026   0.00000   0.00000   0.00000   0.00000
        54         0       531     28839       328         0    41.058     0.280     0.488     0.000     0.232     0.000        38        36   0.00000   0.00000        38        36        37        35        37        36         0         0         0         0         0         0   0.49390   0.37805   0.12805   0.00000   0.00000   0.00000
        55        56        70      2525      2525         0   318.947     0.222     0.702     0.000     0.076     0.000        52        34   0.00000   0.00000        52        34        52        33        53        34        53        33         0         0         0         0   0.09131   0.08834   0.36674   0.45360   0.00000   0.00000
        56         0        70      4453      1928         0   177.881     0.129     0.823     0.003     0.045     0.000        52        35   0.00000   0.00000        52        35        52        34        53        35        53        34         0         0         0         0   0.09455   0.37445   0.09455   0.43644   0.00000   0.00000
        57         0       382      2283      2283         0   285.318     0.207     0.740     0.000     0.054     0.000        44        33   0.00000   0.00000        44        33        43        32        44        32        43        33         0         0         0         0   0.22383   0.18841   0.37091   0.21685   0.00000   0.00000
        58         0       400       858       858         0   259.784     0.121     0.836     0.013     0.031     0.000        42        33   0.00000   0.00000        42        33        42        34        43        34        43        33         0         0         0         0   0.20746   0.01515   0.56061   0.21678   0.00000   0.00000
        59         0       611       282       282         0    46.209     0.727     0.222     0.000     0.050     0.000        35        36   0.00000   0.00000        35        36        34        36        34        35         0         0         0         0         0         0   0.07447   0.87234   0.05319   0.00000   0.00000   0.00000
        60         0       380       149       149         0   185.302     0.128     0.866     0.007     0.000     0.000        44        34   0.00000   0.00000        44        34        44        33         0         0         0         0         0         0         0         0   0.89262   0.10738   0.00000   0.00000   0.00000   0.00000
        61         0       880       115       115         0    50.165     0.703     0.251     0.043     0.002     0.000        25        36   0.00000   0.00000        25        36         0         0         0         0         0         0         0         0         0         0   1.00000   0.00000   0.00000   0.00000   0.00000   0.00000
        62         0       610        31        31         0    31.452     0.435     0.371     0.194     0.000     0.000        35        38   0.00000   0.00000        35        38        35        37         0         0         0         0         0         0         0         0   0.58065   0.41935   0.00000   0.00000   0.00000   0.00000
        63         0       740        14        14         0    24.929     0.000     0.929     0.071     0.000     0.000        29        38   0.00000   0.00000        29        38         0         0         0         0         0         0         0         0         0         0   1.00000   0.00000   0.00000   0.00000   0.00000   0.00000
